First Name, Last Name, Nickname, Twitter, Occupation, Sex, Image, Wikia, Location, Season Name, Season Number, Character Type, Age, Placement, Days Lasted, Votes Against, Starting Tribe, Swapped Tribe, Med Evac, Quit, Tribe Wins, Individual Wins,
"Julie","Berry","","","Youth Mentor","F","http://vignette3.wikia.nocookie.net/survivor/images/9/93/S9_julie_t.jpg/revision/latest?cb=20120829201952","http://survivor.wikia.com/wiki/Julie_Berry","Gorham, ME","Vanuatu","9","Little Red Riding Hood","23","5","36","4","","","0","0","9","1",
"Sherri","Biethman","","","Fast Food Franchisee","F","http://vignette2.wikia.nocookie.net/survivor/images/0/04/S26_sherri_t.jpg/revision/latest?cb=20130111183732","http://survivor.wikia.com/wiki/Sherri_Biethman","Boise, ID","Caramoan: Fans vs Favourites 2","26","Tough Old Broad","41","2","39","6","","","0","0","4","0",
"Carl","Bilancione","","","Dentist","M","http://vignette2.wikia.nocookie.net/survivor/images/e/ee/S3_carl_t.jpg/revision/latest?cb=20120828072217","http://survivor.wikia.com/wiki/Carl_Bilancione","Winter Springs, FL","Africa","3","Mr. Miyagi","46","14","9","7","","","0","0","3","0",
"Jake","Billingsley","","","Land Broker","M","http://vignette2.wikia.nocookie.net/survivor/images/3/31/S5_jake_t.jpg/revision/latest?cb=20120829021322","http://survivor.wikia.com/wiki/Jake_Billingsley","McKinney, TX","Thailand","5","Alpha Male Control Freak","60","6","33","7","","","0","0","6","0",
"Roger","Bingham","","","Teacher/Farmer","M","http://vignette2.wikia.nocookie.net/survivor/images/8/89/S2_rodger_t.jpg/revision/latest?cb=20120828061642","http://survivor.wikia.com/wiki/Rodger_Bingham","Crittenden, KY","The Australian Outback","2","Good Ol' Boy","53","5","36","5","","","0","0","6","0",
"Fabio","Birza","","","Student;Fashion model","M","http://vignette2.wikia.nocookie.net/survivor/images/7/7e/S21_fabio_t.jpg/revision/latest?cb=20121124205712","http://survivor.wikia.com/wiki/Fabio_Birza","Venice, CA","Nicaragua","21","Surfer Dude","21","1","39","2","","","0","0","5","6",
"Matt","Bischoff","","","BMX Bike Sales","M","http://vignette2.wikia.nocookie.net/survivor/images/2/20/S26_matt_t.jpg/revision/latest?cb=20130111183731","http://survivor.wikia.com/wiki/Matt_Bischoff","Cincinnati, OH","Caramoan: Fans vs Favourites 2","26","Ponyboy","38","14","16","4","","","0","0","1","0",
"Clarence","Black","","","Basketball coach","M","http://vignette4.wikia.nocookie.net/survivor/images/7/73/S3_clarence_t.jpg/revision/latest?cb=20130112212739","http://survivor.wikia.com/wiki/Clarence_Black","Detroit, MI","Africa","3","Surfer Dude","24","10","21","12","","","0","0","5","0",
"Jefra","Bland","","","Pageant Winner","F","http://vignette1.wikia.nocookie.net/survivor/images/1/1e/S28_jefra_c.png/revision/latest?cb=20140125105102","http://survivor.wikia.com/wiki/Jefra_Bland","Campbellsville, KY","Cagayan: BBB1","28","Little Red Riding Hood","22","7","30","9","","","0","0","7","2",
"Spencer","Bledsoe","","","Economics Student","M","http://vignette3.wikia.nocookie.net/survivor/images/b/bc/S28_spencer_c.png/revision/latest?cb=20140125111519","http://survivor.wikia.com/wiki/Spencer_Bledsoe","Chicago, IL","Cagayan: BBB1","28","Know-It-All","21","4","37","8","","","0","0","2","7",
"Spencer","Bledsoe","","","Economics Student","M","http://vignette3.wikia.nocookie.net/survivor/images/b/bc/S28_spencer_c.png/revision/latest?cb=20140125111519","http://survivor.wikia.com/wiki/Spencer_Bledsoe","Chicago, IL","Cambodia: Second Chance","31","Know-It-All","24","2","39","11","","","0","0","0","0",
"Danni","Boatwright","","","Sports Radio Host","F","http://vignette3.wikia.nocookie.net/survivor/images/3/33/S11_danni_t.jpg/revision/latest?cb=20120829231850","http://survivor.wikia.com/wiki/Danni_Boatwright","Tonganoxie, KS","Guatemala","11","Erin Brockovich","30","1","39","1","","","0","0","8","3",
"Margaret","Bobonich","","","Nurse Practitioner","F","http://vignette3.wikia.nocookie.net/survivor/images/c/c9/S11_margaret_t.jpg/revision/latest?cb=20120829232016","http://survivor.wikia.com/wiki/Margaret_Bobonich","Chardon, OH","Guatemala","11","I Can See Your Periscope","43","13","15","7","","","0","0","7","0",
"Andrea","Boehlke","","","StudentEntertainment HostWriter","F","http://vignette4.wikia.nocookie.net/survivor/images/d/d6/S22_andrea_t.jpg/revision/latest?cb=20120830203651","http://survivor.wikia.com/wiki/Andrea_Boehlke","Random Lake, WI","Redemption Island","22","G.I. Jane","21","5","37","9","","","0","0","4","3",
"Andrea","Boehlke","","","StudentEntertainment HostWriter","F","http://vignette4.wikia.nocookie.net/survivor/images/d/d6/S22_andrea_t.jpg/revision/latest?cb=20120830203651","http://survivor.wikia.com/wiki/Andrea_Boehlke","Random Lake, WI","Caramoan: Fans vs Favourites 2","26","G.I. Jane","23","7","33","13","","","0","0","0","0",
"Andrea","Boehlke","","","StudentEntertainment HostWriter","F","http://vignette4.wikia.nocookie.net/survivor/images/d/d6/S22_andrea_t.jpg/revision/latest?cb=20120830203651","http://survivor.wikia.com/wiki/Andrea_Boehlke","Random Lake, WI","Game Changers","34","G.I. Jane","27","8","1","0","Nuku","","0","0","0","0",
"Rudy","Boesch","","","Retired Navy SEAL(Master Chief Petty OfficerE-9  U.S. Navy)","M","http://vignette4.wikia.nocookie.net/survivor/images/a/a3/S1_rudy_t.jpg/revision/latest?cb=20120828053055","http://survivor.wikia.com/wiki/Rudy_Boesch","Virginia Beach, VA","Borneo","1","True Grit","72","3","38","8","","","0","0","5","1",
"Rudy","Boesch","","","Retired Navy SEAL(Master Chief Petty OfficerE-9  U.S. Navy)","M","http://vignette4.wikia.nocookie.net/survivor/images/a/a3/S1_rudy_t.jpg/revision/latest?cb=20120828053055","http://survivor.wikia.com/wiki/Rudy_Boesch","Virginia Beach, VA","All-Stars","8","True Grit","76","17","6","3","","","0","0","0","0",
"Cao","Boi Bui","","","Nail Salon Manager","M","http://vignette3.wikia.nocookie.net/survivor/images/2/26/S13_caoboi_t.jpg/revision/latest?cb=20120830005611","http://survivor.wikia.com/wiki/Cao_Boi_Bui","Christiansburg, VA","Cook Islands","13","The Specialist","42","15","15","6","","","0","0","6","0",
"Betsy","Bolan","","","Police officer","F","http://vignette3.wikia.nocookie.net/survivor/images/f/f9/S19_betsy_t.jpg/revision/latest?cb=20160203032234","http://survivor.wikia.com/wiki/Betsy_Bolan","Campton, NH","Samoa","19","I Can See Your Periscope","48","18","6","7","","","0","0","1","0",
"Natalie","Bolton","","","Personal Trainer","F","http://vignette3.wikia.nocookie.net/survivor/images/7/79/S16_natalie_t.jpg/revision/latest?cb=20120830054444","http://survivor.wikia.com/wiki/Natalie_Bolton","Los Angeles, CA","Micronesia: Fans vs Favourites","16","Siren","32","4","37","3","","","0","0","8","0",
"Patrick","Bolton","","","Small Business Owner","M","https://vignette.wikia.nocookie.net/survivor/images/f/f3/S35_Patrick_Bolton.jpg/revision/latest?cb=20170830171143","http://survivor.wikia.com/wiki/Patrick_Bolton","Auburn, Alabama","Heroes vs. Healers vs. Hustlers","35","John McClane","18","16","8","5","","","0","0","0","0",
"Laura","Boneham","","","Merchandiser","F","http://vignette2.wikia.nocookie.net/survivor/images/3/38/S27_laurab_t.jpg/revision/latest?cb=20130821173722","http://survivor.wikia.com/wiki/Laura_Boneham","Indianapolis, IN","Blood vs. Water","27","Crazy Cat Lady","44","12","19","11","","","0","0","4","0",
"Rupert","Boneham","","","Troubled Teens mentor","M","http://vignette4.wikia.nocookie.net/survivor/images/3/3c/S7_rupert_t.jpg/revision/latest?cb=20120829190325","http://survivor.wikia.com/wiki/Rupert_Boneham","Indianapolis, IN","Pearl Islands","7","The Specialist","39","8","27","7","","","0","0","7","2",
"Rupert","Boneham","","","Troubled Teens mentor","M","http://vignette4.wikia.nocookie.net/survivor/images/3/3c/S7_rupert_t.jpg/revision/latest?cb=20120829190325","http://survivor.wikia.com/wiki/Rupert_Boneham","Indianapolis, IN","All-Stars","8","The Specialist","40","4","37","4","","","0","0","0","0",
"Rupert","Boneham","","","Troubled Teens mentor","M","http://vignette4.wikia.nocookie.net/survivor/images/3/3c/S7_rupert_t.jpg/revision/latest?cb=20120829190325","http://survivor.wikia.com/wiki/Rupert_Boneham","Indianapolis, IN","Heroes vs Villains","20","The Specialist","46","6","36","10","","","0","0","0","0",
"Rupert","Boneham","","","Troubled Teens mentor","M","http://vignette4.wikia.nocookie.net/survivor/images/3/3c/S7_rupert_t.jpg/revision/latest?cb=20120829190325","http://survivor.wikia.com/wiki/Rupert_Boneham","Indianapolis, IN","Blood vs. Water","27","The Specialist","49","20","4","0","","","0","0","0","0",
"Mike","Borassi","","","Personal chef","M","http://vignette2.wikia.nocookie.net/survivor/images/a/a5/S19_mike_t.jpg/revision/latest?cb=20120830170649","http://survivor.wikia.com/wiki/Mike_Borassi","Marina del Rey, CA","Samoa","19","Ponyboy","62","19","5","0","","","0","0","1","0",
"Rebecca","Borman","","","Make-Up Artist","F","http://vignette4.wikia.nocookie.net/survivor/images/b/b3/S13_rebecca_t.jpg/revision/latest?cb=20120830005851","http://survivor.wikia.com/wiki/Rebecca_Borman","Laurelton, NY","Cook Islands","13","Erin Brockovich","34","11","24","6","","","0","0","4","0",
"Mikey","Bortone","","","Aspiring Writer","M","http://vignette2.wikia.nocookie.net/survivor/images/f/f9/S16_mikeyb_t.jpg/revision/latest?cb=20120830054431","http://survivor.wikia.com/wiki/Mikey_Bortone","Los Angeles, CA","Micronesia: Fans vs Favourites","16","Mr. Miyagi","33","17","11","6","","","0","0","2","0",
"Jenna","Bowman","","","Advertising Account Executive","F","https://vignette.wikia.nocookie.net/survivor/images/1/1b/S36_Jenna_Bowman.jpg/revision/latest?cb=20180131173435","http://survivor.wikia.com/wiki/Jenna_Bowman","Venice Beach, California","Survivor: Ghost Island","36","","0","0","0","0","","","0","0","0","0",
"Aubry","Bracco","","","Social media marketer","F","http://vignette3.wikia.nocookie.net/survivor/images/0/07/S32_Aubry_Bracco.jpg/revision/latest?cb=20160120164832","http://survivor.wikia.com/wiki/Aubry_Bracco","Cambridge, Massachusetts","Kaoh Rong: BBB2","32","Chelsea Handler","29","2","39","6","","","0","0","0","0",
"Aubry","Bracco","","","Social media marketer","F","http://vignette3.wikia.nocookie.net/survivor/images/0/07/S32_Aubry_Bracco.jpg/revision/latest?cb=20160120164832","http://survivor.wikia.com/wiki/Aubry_Bracco","Cambridge, Massachusetts","Game Changers","34","Chelsea Handler","30","5","1","0","Mana","","0","0","0","0",
"Tijuana","Bradley","","","Pharmaceutical Sales","F","http://vignette3.wikia.nocookie.net/survivor/images/a/a4/S7_tijuana_t.jpg/revision/latest?cb=20120829190451","http://survivor.wikia.com/wiki/Tijuana_Bradley","Saint Louis, MO","Pearl Islands","7","Oh No You Didn't!","26","7","30","5","","","0","0","4","0",
"Michaela","Bradshaw","","","Vacation Club Sales","F","http://vignette1.wikia.nocookie.net/survivor/images/0/0a/S34_Michaela_Cast_Photo1.jpg/revision/latest/scale-to-width-down/234?cb=20170208191418","http://survivor.wikia.com/wiki/Michaela_Bradshaw","Fort Worth, Texas","Millennials vs Gen X","33","Oh No You Didn't!","18","14","20","4","","","0","0","0","0",
"Michaela","Bradshaw","","","Vacation Club Sales","F","http://vignette1.wikia.nocookie.net/survivor/images/0/0a/S34_Michaela_Cast_Photo1.jpg/revision/latest/scale-to-width-down/234?cb=20170208191418","http://survivor.wikia.com/wiki/Michaela_Bradshaw","Fort Worth, Texas","Game Changers","34","G.I. Jane","26","7","1","0","Mana","","0","0","0","0",
"Jane","Bright","","","Dog trainer","F","http://vignette2.wikia.nocookie.net/survivor/images/0/04/S21_jane_t.jpg/revision/latest?cb=20120830203831","http://survivor.wikia.com/wiki/Jane_Bright","Jackson Springs, NC","Nicaragua","21","Tough Old Broad","56","6","36","11","","","0","0","3","3",
"Amber","Brkich","","","Administrative Assistant","F","http://vignette3.wikia.nocookie.net/survivor/images/b/b8/S2_amber_t.jpg/revision/latest?cb=20120828061330","http://survivor.wikia.com/wiki/Amber_Brkich","Beaver, PA","The Australian Outback","2","Little Red Riding Hood","22","6","33","6","","","0","0","4","0",
"Amber","Brkich","","","Administrative Assistant","F","http://vignette3.wikia.nocookie.net/survivor/images/b/b8/S2_amber_t.jpg/revision/latest?cb=20120828061330","http://survivor.wikia.com/wiki/Amber_Brkich","Beaver, PA","All-Stars","8","Little Red Riding Hood","25","1","39","6","","","0","0","0","0",
"G.C.","Brown","","","Maintenance Supervisor","M","http://vignette1.wikia.nocookie.net/survivor/images/5/5f/S17_gc_t.jpg/revision/latest?cb=20120830160308","http://survivor.wikia.com/wiki/G.C._Brown","Portland, OR","Gabon","17","Ponyboy","25","14","15","6","","","0","0","2","1",
"Jenn","Brown","","","Sailing Instructor","F","http://vignette2.wikia.nocookie.net/survivor/images/0/0e/S30_jenn_t.png/revision/latest?cb=20150121191155","http://survivor.wikia.com/wiki/Jenn_Brown","Long Beach, CA","Worlds Apart","30","Lady Gaga","22","9","27","18","","","0","0","5","0",
"Nick","Brown","","","Harvard Law Student","M","http://vignette1.wikia.nocookie.net/survivor/images/e/e3/S2_nick_t.jpg/revision/latest?cb=20120828061627","http://survivor.wikia.com/wiki/Nick_Brown","Steilacoom, WA","The Australian Outback","2","Know-It-All","23","7","30","4","","","0","0","6","1",
"Ben","Browning","","","Bar Owner","M","http://vignette4.wikia.nocookie.net/survivor/images/5/53/S19_ben_t.jpg/revision/latest?cb=20120830170256","http://survivor.wikia.com/wiki/Ben_Browning","Los Angeles, CA","Samoa","19","Good Ol' Boy","28","17","8","7","","","0","0","1","0",
"Kelly","Bruno","","","Medical student","F","http://vignette2.wikia.nocookie.net/survivor/images/4/4a/S21_kellyb_t.jpg/revision/latest?cb=20120830203939","http://survivor.wikia.com/wiki/Kelly_Bruno","Durham, NC","Nicaragua","21","Secretly Smart Bikini Babe","26","15","15","8","","","0","0","5","0",
"Tom","Buchanan","","","Goat Farmer","M","http://vignette2.wikia.nocookie.net/survivor/images/7/7e/S3_tom_t.jpg/revision/latest?cb=20120828072551","http://survivor.wikia.com/wiki/Tom_Buchanan","Rich Valley, VA","Africa","3","Good Ol' Boy","45","4","37","9","","","0","0","5","1",
"Tom","Buchanan","","","Goat Farmer","M","http://vignette2.wikia.nocookie.net/survivor/images/7/7e/S3_tom_t.jpg/revision/latest?cb=20120828072551","http://survivor.wikia.com/wiki/Tom_Buchanan","Rich Valley, VA","All-Stars","8","Good Ol' Boy","48","5","36","4","","","0","0","0","0",
